ID_Factura,Producto,Cantidad
10440,escaper,125
10440,lamina plastica,65
10440,escaper,145
10440,miniglide,142
10440,LCD 30hz pb23,56
14035,silverscreen,60
14035,OLCD 60hz i3xaz,127
14035,miniglide,40
14035,laplux,43
14035,escaper,47
14035,gizmoclick,86
14035,TechRodent,94
14035,QLED 60hz pb51,128
14035,basspulse,103
14035,qwertyguardian,137
15519,LCD 30hz pb23,106
15519,escaper,116
15519,typomaster,81
15519,LCD 30hz pb23,128
15519,Mightyscroller,120
15519,Mightyscroller,109
15519,OLCD 60hz i3xaz,121
14663,typomaster,125
14663,Vidrio templado,128
742,TechRodent,132
742,gizmoclick,135
742,acusticflow,108
742,OLCD 60hz i3xaz,109
742,lapjet,122
18678,Mightyscroller,97
18678,qwertyguardian,119
18678,shiftmate,108
18678,acusticflow,88
18678,OLCD 60hz i3xaz,128
18678,laplux,102
6996,OLCD 60hz i3xaz,68
6996,QLED 60hz sd56,135
6996,Masterswipe,107
6996,OLCD 60hz i3xaz,137
6996,basspulse,137
6996,acusticflow,112
6996,basspulse,116
6996,TechRodent,66
6996,escaper,86
6996,shiftmate,78
6996,lamina plastica,71
6996,pixpad,53
24947,laplux,94
24947,gizmoclick,130
24947,pixpad,130
3080,QLED 60hz sd56,42
3080,jetnote,129
3080,TechRodent,82
3080,earecho,58
3080,escaper,138
16647,Vidrio templado,80
16647,qwertyguardian,90
16647,enterwizard,78
16647,earecho,104
16647,miniglide,72
14137,typomaster,139
14137,TechRodent,59
14137,shiftmate,96
14137,LCD 30hz pb23,113
14137,lapjet,115
14137,Masterswipe,130
14137,acusticflow,90
2593,earecho,81
6006,lamina plastica,122
12119,basspulse,85
12119,qwertyguardian,96
12119,TechRodent,100
12119,earecho,73
12119,qwertyguardian,119
12119,silverscreen,118
12119,OLCD 60hz i3xaz,75
12119,escaper,41
12119,earecho,63
85,silverscreen,84
85,gizmoclick,136
85,QLED 60hz pb51,118
85,OLCD 60hz i3xaz,141
85,typomaster,90
85,Vidrio templado,103
974,enterwizard,124
974,silverscreen,121
974,pixpad,106
974,miniglide,126
974,LCD 60hz pldas,149
974,LCD 60hz pldas,130
974,enterwizard,120
974,Vidrio templado,51
2902,typomaster,146
2902,Masterswipe,106
2902,basspulse,73
2902,jetnote,55
2902,laplux,137
2902,generico,80
2902,earecho,41
2902,acusticflow,112
2902,lapjet,122
19736,Vidrio templado,73
19736,silverscreen,113
19736,LCD 30hz pb23,52
17904,earecho,101
17904,miniglide,89
17904,qwertyguardian,74
13236,Mightyscroller,77
13236,qwertyguardian,104
13236,qwertyguardian,70
13236,Mightyscroller,100
13236,silverscreen,107
13236,Mightyscroller,41
19836,escaper,134
19836,miniglide,92
19836,beatblaster,104
19836,lapjet,52
19836,typomaster,48
8747,Masterswipe,141
8747,gizmoclick,78
8747,escaper,128
15997,LCD 60hz pldas,110
15997,pixpad,96
15997,escaper,56
15997,LCD 60hz pldas,88
15997,beatblaster,56
15997,Masterswipe,43
15997,typomaster,102
15997,enterwizard,116
11026,enterwizard,149
11026,LCD 60hz pldas,103
11026,jetnote,44
11026,acusticflow,103
11026,qwertyguardian,62
11026,basspulse,79
11026,laplux,115
11026,lapjet,143
4024,QLED 60hz sd56,107
4024,lamina plastica,127
4024,Masterswipe,135
4024,shiftmate,47
4024,qwertyguardian,99
13353,pixpad,103
13353,shiftmate,48
13353,jetnote,108
13353,typomaster,61
13353,lamina plastica,119
13353,gizmoclick,76
13353,laplux,75
13353,typomaster,109
13353,lapjet,137
13353,Mightyscroller,93
13353,laplux,125
13353,LCD 30hz pb23,147
13353,pixpad,111
13353,silverscreen,80
13353,QLED 60hz sd56,43
2221,laplux,102
2221,beatblaster,110
16313,acusticflow,111
16313,qwertyguardian,41
16313,basspulse,144
3690,LCD 60hz pldas,54
3690,Mightyscroller,106
3690,Masterswipe,136
3690,silverscreen,114
3690,laplux,141
3690,typomaster,43
3690,Mightyscroller,115
3690,escaper,109
3690,Masterswipe,119
3690,earecho,57
3690,typomaster,142
20349,pixpad,119
20349,enterwizard,77
20349,generico,70
20349,silverscreen,138
20349,OLCD 60hz i3xaz,97
316,acusticflow,114
316,jetnote,81
316,lamina plastica,127
316,QLED 60hz pb51,107
8553,jetnote,97
8553,Mightyscroller,63
8553,generico,125
8553,LCD 60hz pldas,133
8553,beatblaster,79
